"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"NPN","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"ALPN_HTTP2","eure-et-loir.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","eure-et-loir.gouv.fr/77.159.252.140","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","eure-et-loir.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","eure-et-loir.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","eure-et-loir.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9e","eure-et-loir.gouv.fr/77.159.252.140","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","eure-et-loir.gouv.fr/77.159.252.140","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
