"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.eduscol.education.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","www.eduscol.education.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.eduscol.education.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","www.eduscol.education.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","www.eduscol.education.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","www.eduscol.education.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","www.eduscol.education.fr/185.75.143.93","443","OK","offered with final","",""
"NPN","www.eduscol.education.fr/185.75.143.93","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","www.eduscol.education.fr/185.75.143.93","443","OK","h2","",""
"ALPN","www.eduscol.education.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","www.eduscol.education.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"scanProblem","www.eduscol.education.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
