"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","HTTP","",""
"pre_128cipher","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cordouan.culture.gouv.fr/51.159.155.253","443","OK","not offered","",""
"SSLv3","cordouan.culture.gouv.fr/51.159.155.253","443","OK","not offered","",""
"TLS1","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"TLS1_1","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"TLS1_2","cordouan.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"TLS1_3","cordouan.culture.gouv.fr/51.159.155.253","443","OK","offered with final","",""
"NPN","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","cordouan.culture.gouv.fr/51.159.155.253","443","OK","h2","",""
"ALPN","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","http/1.1","",""
"cipherlist_NULL","cordouan.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cordouan.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cordouan.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cordouan.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cordouan.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"cipher_order-tls1_2","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","cordouan.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","cordouan.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","cordouan.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","cordouan.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","cordouan.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","cordouan.culture.gouv.fr/51.159.155.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","cordouan.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
