"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","HTTP","",""
"pre_128cipher","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.civils.defense.gouv.fr/91.208.207.222","443","OK","not offered","",""
"SSLv3","www.civils.defense.gouv.fr/91.208.207.222","443","OK","not offered","",""
"TLS1","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"TLS1_1","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"TLS1_2","www.civils.defense.gouv.fr/91.208.207.222","443","OK","offered","",""
"TLS1_3","www.civils.defense.gouv.fr/91.208.207.222","443","OK","offered with final","",""
"ALPN","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","http/1.1","",""
"cipherlist_NULL","www.civils.defense.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.civils.defense.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.civils.defense.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.civils.defense.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.civils.defense.gouv.fr/91.208.207.222","443","OK","offered","",""
"cipher_order-tls1_2","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.civils.defense.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.civils.defense.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","NOT a cipher order configured","",""
"FS","www.civils.defense.gouv.fr/91.208.207.222","443","OK","offered","",""
"FS_ciphers","www.civils.defense.gouv.fr/91.208.207.222","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
