"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.etudiant.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","www.etudiant.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.etudiant.gouv.fr/185.75.143.93","443","WARN","couldn't be tested, socket problem","",""
"SSLv3","www.etudiant.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","www.etudiant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","www.etudiant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","www.etudiant.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","www.etudiant.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN_HTTP2","www.etudiant.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","www.etudiant.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","www.etudiant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.etudiant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.etudiant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.etudiant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"scanProblem","www.etudiant.gouv.fr/185.75.143.93","443","FATAL","repeated openssl s_client connect problem, doesn't make sense to continue","",""
