"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","HTTP","",""
"pre_128cipher","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","No 128 cipher limit bug","",""
"SSLv2","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","not offered","",""
"SSLv3","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","not offered","",""
"TLS1","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","offered (deprecated)","",""
"TLS1_1","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","offered (deprecated)","",""
"TLS1_2","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","offered","",""
"TLS1_3","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","not offered","",""
"ALPN","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","not offered","",""
"cipherlist_NULL","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","not offered","","CWE-327"
"cipherlist_LOW","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","offered","",""
"cipherlist_STRONG_FS","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","offered","",""
"cipher_order-tls1","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","server","",""
"cipher-tls1_xc013","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x2f","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x35","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","ECDHE-RSA-AES128-SHA AES128-SHA ECDHE-RSA-AES256-SHA AES256-SHA","",""
"cipher_order-tls1_1","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","server","",""
"cipher-tls1_1_xc013","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x2f","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1.1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_xc014","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x35","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_1","snosm.ensm.sports.gouv.fr/91.121.60.176","443","INFO","ECDHE-RSA-AES128-SHA AES128-SHA ECDHE-RSA-AES256-SHA AES256-SHA","",""
"cipher_order-tls1_2","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","server","",""
"cipher-tls1_2_xc02f","snosm.ensm.sports.gouv.fr/91.121.60.176","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","snosm.ensm.sports.gouv.fr/91.121.60.176","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
