"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pourbienvieillir.fr/109.69.189.92","443","INFO","HTTP","",""
"pre_128cipher","pourbienvieillir.fr/109.69.189.92","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pourbienvieillir.fr/109.69.189.92","443","OK","not offered","",""
"SSLv3","pourbienvieillir.fr/109.69.189.92","443","OK","not offered","",""
"TLS1","pourbienvieillir.fr/109.69.189.92","443","INFO","not offered","",""
"TLS1_1","pourbienvieillir.fr/109.69.189.92","443","INFO","not offered","",""
"TLS1_2","pourbienvieillir.fr/109.69.189.92","443","OK","offered","",""
"TLS1_3","pourbienvieillir.fr/109.69.189.92","443","OK","offered with final","",""
"NPN","pourbienvieillir.fr/109.69.189.92","443","INFO","not offered","",""
"ALPN","pourbienvieillir.fr/109.69.189.92","443","INFO","http/1.1","",""
"cipherlist_NULL","pourbienvieillir.fr/109.69.189.92","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pourbienvieillir.fr/109.69.189.92","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pourbienvieillir.fr/109.69.189.92","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pourbienvieillir.fr/109.69.189.92","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pourbienvieillir.fr/109.69.189.92","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pourbienvieillir.fr/109.69.189.92","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pourbienvieillir.fr/109.69.189.92","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pourbienvieillir.fr/109.69.189.92","443","OK","offered","",""
"cipher_order-tls1_2","pourbienvieillir.fr/109.69.189.92","443","OK","server","",""
"cipher-tls1_2_xc030","pourbienvieillir.fr/109.69.189.92","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","pourbienvieillir.fr/109.69.189.92","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","pourbienvieillir.fr/109.69.189.92","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","pourbienvieillir.fr/109.69.189.92","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"prioritize_chacha_TLSv1_2","pourbienvieillir.fr/109.69.189.92","443","INFO","false","",""
"cipher_order-tls1_3","pourbienvieillir.fr/109.69.189.92","443","OK","server","",""
"cipher-tls1_3_x1302","pourbienvieillir.fr/109.69.189.92","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","pourbienvieillir.fr/109.69.189.92","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","pourbienvieillir.fr/109.69.189.92","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","pourbienvieillir.fr/109.69.189.92","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","pourbienvieillir.fr/109.69.189.92","443","INFO","false","",""
"cipher_order","pourbienvieillir.fr/109.69.189.92","443","OK","server","",""
"FS","pourbienvieillir.fr/109.69.189.92","443","OK","offered","",""
"FS_ciphers","pourbienvieillir.fr/109.69.189.92","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","pourbienvieillir.fr/109.69.189.92","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","pourbienvieillir.fr/109.69.189.92","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","pourbienvieillir.fr/109.69.189.92","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","pourbienvieillir.fr/109.69.189.92","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
