"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","antai.gouv.fr/90.102.74.9","443","INFO","HTTP","",""
"pre_128cipher","antai.gouv.fr/90.102.74.9","443","INFO","No 128 cipher limit bug","",""
"SSLv2","antai.gouv.fr/90.102.74.9","443","OK","not offered","",""
"SSLv3","antai.gouv.fr/90.102.74.9","443","OK","not offered","",""
"TLS1","antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"TLS1_1","antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"TLS1_2","antai.gouv.fr/90.102.74.9","443","OK","offered","",""
"TLS1_3","antai.gouv.fr/90.102.74.9","443","OK","offered with final","",""
"ALPN","antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"cipherlist_NULL","antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_LOW","antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","antai.gouv.fr/90.102.74.9","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","antai.gouv.fr/90.102.74.9","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"cipherlist_STRONG_FS","antai.gouv.fr/90.102.74.9","443","OK","offered","",""
"cipher_order-tls1_2","antai.gouv.fr/90.102.74.9","443","OK","server","",""
"cipherorder_TLSv1_2","antai.gouv.fr/90.102.74.9","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","antai.gouv.fr/90.102.74.9","443","OK","server","",""
"FS","antai.gouv.fr/90.102.74.9","443","OK","offered","",""
"FS_ciphers","antai.gouv.fr/90.102.74.9","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","antai.gouv.fr/90.102.74.9","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","antai.gouv.fr/90.102.74.9","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","antai.gouv.fr/90.102.74.9","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","antai.gouv.fr/90.102.74.9","443","INFO","yes","",""
"sessionresumption_ticket","antai.gouv.fr/90.102.74.9","443","INFO","not supported","",""
"sessionresumption_ID","antai.gouv.fr/90.102.74.9","443","INFO","supported","",""
"TLS_timestamp","antai.gouv.fr/90.102.74.9","443","INFO","random","",""
"certificate_compression","antai.gouv.fr/90.102.74.9","443","INFO","none","",""
"clientAuth","antai.gouv.fr/90.102.74.9","443","INFO","none","",""
"cert_numbers","antai.gouv.fr/90.102.74.9","443","INFO","1","",""
"cert_signatureAlgorithm","antai.gouv.fr/90.102.74.9","443","OK","SHA256 with RSA","",""
"cert_keySize","antai.gouv.fr/90.102.74.9","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","antai.gouv.fr/90.102.74.9","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","antai.gouv.fr/90.102.74.9","443","INFO","TLS Web Server Authentication","",""
