"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ac-rennes.fr/185.75.143.93","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","ac-rennes.fr/185.75.143.93","443","MEDIUM","128 cipher limit bug","",""
"SSLv2","ac-rennes.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","ac-rennes.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","ac-rennes.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","ac-rennes.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","ac-rennes.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","ac-rennes.fr/185.75.143.93","443","OK","offered with final","",""
"NPN","ac-rennes.fr/185.75.143.93","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","ac-rennes.fr/185.75.143.93","443","OK","h2","",""
"ALPN","ac-rennes.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","ac-rennes.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ac-rennes.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ac-rennes.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ac-rennes.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ac-rennes.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ac-rennes.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ac-rennes.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ac-rennes.fr/185.75.143.93","443","OK","offered","",""
"scanProblem","ac-rennes.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
