"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnam-bretagne.fr/51.91.201.101","443","INFO","HTTP","",""
"pre_128cipher","cnam-bretagne.fr/51.91.201.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnam-bretagne.fr/51.91.201.101","443","OK","not offered","",""
"SSLv3","cnam-bretagne.fr/51.91.201.101","443","OK","not offered","",""
"TLS1","cnam-bretagne.fr/51.91.201.101","443","INFO","not offered","",""
"TLS1_1","cnam-bretagne.fr/51.91.201.101","443","INFO","not offered","",""
"TLS1_2","cnam-bretagne.fr/51.91.201.101","443","OK","offered","",""
"TLS1_3","cnam-bretagne.fr/51.91.201.101","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","cnam-bretagne.fr/51.91.201.101","443","INFO","not offered","",""
"ALPN_HTTP2","cnam-bretagne.fr/51.91.201.101","443","OK","h2","",""
"ALPN","cnam-bretagne.fr/51.91.201.101","443","INFO","http/1.1","",""
"cipherlist_NULL","cnam-bretagne.fr/51.91.201.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnam-bretagne.fr/51.91.201.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnam-bretagne.fr/51.91.201.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnam-bretagne.fr/51.91.201.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnam-bretagne.fr/51.91.201.101","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cnam-bretagne.fr/51.91.201.101","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cnam-bretagne.fr/51.91.201.101","443","OK","offered","",""
"cipherlist_STRONG_FS","cnam-bretagne.fr/51.91.201.101","443","OK","offered","",""
"cipher_order-tls1_2","cnam-bretagne.fr/51.91.201.101","443","OK","server","",""
"cipher-tls1_2_xc030","cnam-bretagne.fr/51.91.201.101","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cnam-bretagne.fr/51.91.201.101","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","cnam-bretagne.fr/51.91.201.101","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","cnam-bretagne.fr/51.91.201.101","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc014","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc013","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x39","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x33","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9d","cnam-bretagne.fr/51.91.201.101","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9c","cnam-bretagne.fr/51.91.201.101","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3d","cnam-bretagne.fr/51.91.201.101","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
