"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dioceseauxarmees.fr/185.16.44.153","443","INFO","HTTP","",""
"pre_128cipher","dioceseauxarmees.fr/185.16.44.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dioceseauxarmees.fr/185.16.44.153","443","OK","not offered","",""
"SSLv3","dioceseauxarmees.fr/185.16.44.153","443","OK","not offered","",""
"TLS1","dioceseauxarmees.fr/185.16.44.153","443","INFO","not offered","",""
"TLS1_1","dioceseauxarmees.fr/185.16.44.153","443","INFO","not offered","",""
"TLS1_2","dioceseauxarmees.fr/185.16.44.153","443","OK","offered","",""
"TLS1_3","dioceseauxarmees.fr/185.16.44.153","443","OK","offered with final","",""
"NPN","dioceseauxarmees.fr/185.16.44.153","443","INFO","not offered","",""
"ALPN","dioceseauxarmees.fr/185.16.44.153","443","INFO","http/1.1","",""
"cipherlist_NULL","dioceseauxarmees.fr/185.16.44.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dioceseauxarmees.fr/185.16.44.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dioceseauxarmees.fr/185.16.44.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dioceseauxarmees.fr/185.16.44.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dioceseauxarmees.fr/185.16.44.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dioceseauxarmees.fr/185.16.44.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","dioceseauxarmees.fr/185.16.44.153","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dioceseauxarmees.fr/185.16.44.153","443","OK","offered","",""
"cipher_order-tls1_2","dioceseauxarmees.fr/185.16.44.153","443","OK","server","",""
"cipher-tls1_2_xc030","dioceseauxarmees.fr/185.16.44.153","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","dioceseauxarmees.fr/185.16.44.153","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","dioceseauxarmees.fr/185.16.44.153","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","dioceseauxarmees.fr/185.16.44.153","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","dioceseauxarmees.fr/185.16.44.153","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","dioceseauxarmees.fr/185.16.44.153","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","",""
"prioritize_chacha_TLSv1_2","dioceseauxarmees.fr/185.16.44.153","443","INFO","false","",""
"cipher_order-tls1_3","dioceseauxarmees.fr/185.16.44.153","443","OK","server","",""
"cipher-tls1_3_x1302","dioceseauxarmees.fr/185.16.44.153","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","dioceseauxarmees.fr/185.16.44.153","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","dioceseauxarmees.fr/185.16.44.153","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","dioceseauxarmees.fr/185.16.44.153","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","dioceseauxarmees.fr/185.16.44.153","443","INFO","false","",""
"cipher_order","dioceseauxarmees.fr/185.16.44.153","443","OK","server","",""
"FS","dioceseauxarmees.fr/185.16.44.153","443","OK","offered","",""
"FS_ciphers","dioceseauxarmees.fr/185.16.44.153","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","dioceseauxarmees.fr/185.16.44.153","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","dioceseauxarmees.fr/185.16.44.153","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","dioceseauxarmees.fr/185.16.44.153","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","dioceseauxarmees.fr/185.16.44.153","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
