"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","banquemondiale.org/172.64.151.84","443","INFO","HTTP","",""
"pre_128cipher","banquemondiale.org/172.64.151.84","443","INFO","No 128 cipher limit bug","",""
"SSLv2","banquemondiale.org/172.64.151.84","443","OK","not offered","",""
"SSLv3","banquemondiale.org/172.64.151.84","443","OK","not offered","",""
"TLS1","banquemondiale.org/172.64.151.84","443","INFO","not offered","",""
"TLS1_1","banquemondiale.org/172.64.151.84","443","INFO","not offered","",""
"TLS1_2","banquemondiale.org/172.64.151.84","443","OK","offered","",""
"TLS1_3","banquemondiale.org/172.64.151.84","443","OK","offered with final","",""
"NPN","banquemondiale.org/172.64.151.84","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","banquemondiale.org/172.64.151.84","443","OK","h2","",""
"ALPN","banquemondiale.org/172.64.151.84","443","INFO","http/1.1","",""
"cipherlist_NULL","banquemondiale.org/172.64.151.84","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","banquemondiale.org/172.64.151.84","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","banquemondiale.org/172.64.151.84","443","OK","not offered","","CWE-327"
"cipherlist_LOW","banquemondiale.org/172.64.151.84","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","banquemondiale.org/172.64.151.84","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","banquemondiale.org/172.64.151.84","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","banquemondiale.org/172.64.151.84","443","OK","offered","",""
"cipherlist_STRONG_FS","banquemondiale.org/172.64.151.84","443","OK","offered","",""
"cipher_order-tls1_2","banquemondiale.org/172.64.151.84","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc02c","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc02f","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc013","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9c","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x2f","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc030","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","banquemondiale.org/172.64.151.84","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x35","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3c","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x3d","banquemondiale.org/172.64.151.84","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
