"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.parisnanterre.fr/193.50.151.174","443","INFO","HTTP","",""
"pre_128cipher","www.parisnanterre.fr/193.50.151.174","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","",""
"SSLv3","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","",""
"TLS1","www.parisnanterre.fr/193.50.151.174","443","INFO","not offered","",""
"TLS1_1","www.parisnanterre.fr/193.50.151.174","443","INFO","not offered","",""
"TLS1_2","www.parisnanterre.fr/193.50.151.174","443","OK","offered","",""
"TLS1_3","www.parisnanterre.fr/193.50.151.174","443","OK","offered with final","",""
"NPN","www.parisnanterre.fr/193.50.151.174","443","INFO","not offered","",""
"ALPN","www.parisnanterre.fr/193.50.151.174","443","INFO","http/1.1","",""
"cipherlist_NULL","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.parisnanterre.fr/193.50.151.174","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.parisnanterre.fr/193.50.151.174","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.parisnanterre.fr/193.50.151.174","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.parisnanterre.fr/193.50.151.174","443","OK","offered","",""
"cipher_order-tls1_2","www.parisnanterre.fr/193.50.151.174","443","OK","server","",""
"cipher-tls1_2_xc02f","www.parisnanterre.fr/193.50.151.174","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","www.parisnanterre.fr/193.50.151.174","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","www.parisnanterre.fr/193.50.151.174","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9e","www.parisnanterre.fr/193.50.151.174","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","www.parisnanterre.fr/193.50.151.174","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xccaa","www.parisnanterre.fr/193.50.151.174","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","www.parisnanterre.fr/193.50.151.174","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-CHACHA20-POLY1305","",""
