"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","afit-france.fr/51.210.96.117","443","INFO","HTTP","",""
"pre_128cipher","afit-france.fr/51.210.96.117","443","INFO","No 128 cipher limit bug","",""
"SSLv2","afit-france.fr/51.210.96.117","443","OK","not offered","",""
"SSLv3","afit-france.fr/51.210.96.117","443","OK","not offered","",""
"TLS1","afit-france.fr/51.210.96.117","443","INFO","not offered","",""
"TLS1_1","afit-france.fr/51.210.96.117","443","INFO","not offered","",""
"TLS1_2","afit-france.fr/51.210.96.117","443","OK","offered","",""
"TLS1_3","afit-france.fr/51.210.96.117","443","OK","offered with final","",""
"NPN","afit-france.fr/51.210.96.117","443","INFO","not offered","",""
"ALPN_HTTP2","afit-france.fr/51.210.96.117","443","OK","h2","",""
"ALPN","afit-france.fr/51.210.96.117","443","INFO","http/1.1","",""
"cipherlist_NULL","afit-france.fr/51.210.96.117","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","afit-france.fr/51.210.96.117","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","afit-france.fr/51.210.96.117","443","OK","not offered","","CWE-327"
"cipherlist_LOW","afit-france.fr/51.210.96.117","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","afit-france.fr/51.210.96.117","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","afit-france.fr/51.210.96.117","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","afit-france.fr/51.210.96.117","443","INFO","not offered","",""
"cipherlist_STRONG_FS","afit-france.fr/51.210.96.117","443","OK","offered","",""
"cipher_order-tls1_2","afit-france.fr/51.210.96.117","443","OK","server","",""
"cipher-tls1_2_xc02c","afit-france.fr/51.210.96.117","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","afit-france.fr/51.210.96.117","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","afit-france.fr/51.210.96.117","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","afit-france.fr/51.210.96.117","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"prioritize_chacha_TLSv1_2","afit-france.fr/51.210.96.117","443","INFO","false","",""
"cipher_order-tls1_3","afit-france.fr/51.210.96.117","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","afit-france.fr/51.210.96.117","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","afit-france.fr/51.210.96.117","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","afit-france.fr/51.210.96.117","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","afit-france.fr/51.210.96.117","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","afit-france.fr/51.210.96.117","443","OK","server -- TLS 1.3 client determined","",""
"FS","afit-france.fr/51.210.96.117","443","OK","offered","",""
"FS_ciphers","afit-france.fr/51.210.96.117","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","afit-france.fr/51.210.96.117","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","afit-france.fr/51.210.96.117","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","afit-france.fr/51.210.96.117","443","INFO","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","afit-france.fr/51.210.96.117","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","afit-france.fr/51.210.96.117","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","afit-france.fr/51.210.96.117","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","afit-france.fr/51.210.96.117","443","INFO","yes","",""
"sessionresumption_ticket","afit-france.fr/51.210.96.117","443","INFO","not supported","",""
"sessionresumption_ID","afit-france.fr/51.210.96.117","443","INFO","not supported","",""
"TLS_timestamp","afit-france.fr/51.210.96.117","443","INFO","random","",""
