"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anj.fr/145.239.225.114","443","INFO","HTTP","",""
"pre_128cipher","anj.fr/145.239.225.114","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anj.fr/145.239.225.114","443","OK","not offered","",""
"SSLv3","anj.fr/145.239.225.114","443","OK","not offered","",""
"TLS1","anj.fr/145.239.225.114","443","INFO","not offered","",""
"TLS1_1","anj.fr/145.239.225.114","443","INFO","not offered","",""
"TLS1_2","anj.fr/145.239.225.114","443","OK","offered","",""
"TLS1_3","anj.fr/145.239.225.114","443","OK","offered with final","",""
"NPN","anj.fr/145.239.225.114","443","INFO","not offered","",""
"ALPN_HTTP2","anj.fr/145.239.225.114","443","OK","h2","",""
"ALPN","anj.fr/145.239.225.114","443","INFO","http/1.1","",""
"cipherlist_NULL","anj.fr/145.239.225.114","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anj.fr/145.239.225.114","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anj.fr/145.239.225.114","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anj.fr/145.239.225.114","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anj.fr/145.239.225.114","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","anj.fr/145.239.225.114","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","anj.fr/145.239.225.114","443","INFO","not offered","",""
"cipherlist_STRONG_FS","anj.fr/145.239.225.114","443","OK","offered","",""
"cipher_order-tls1_2","anj.fr/145.239.225.114","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","anj.fr/145.239.225.114","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","anj.fr/145.239.225.114","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","anj.fr/145.239.225.114","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","anj.fr/145.239.225.114","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","anj.fr/145.239.225.114","443","INFO","NOT a cipher order configured","",""
