"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","HTTP","",""
"pre_128cipher","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","not offered","",""
"SSLv3","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","not offered","",""
"TLS1","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","not offered","",""
"TLS1_1","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","not offered","",""
"TLS1_2","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","offered","",""
"TLS1_3","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","offered with final","",""
"NPN","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","not offered","",""
"ALPN","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","not offered","",""
"cipherlist_NULL","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ciroco.recherche.gouv.fr/193.51.147.140","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","offered","",""
"cipher_order-tls1_2","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","server","",""
"cipher-tls1_2_xc030","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc028","ciroco.recherche.gouv.fr/193.51.147.140","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc02f","ciroco.recherche.gouv.fr/193.51.147.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","ciroco.recherche.gouv.fr/193.51.147.140","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"prioritize_chacha_TLSv1_2","ciroco.recherche.gouv.fr/193.51.147.140","443","INFO","false","",""
