"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","HTTP","",""
"pre_128cipher","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","No 128 cipher limit bug","",""
"SSLv2","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","not offered","",""
"SSLv3","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","not offered","",""
"TLS1","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","",""
"TLS1_1","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","",""
"TLS1_2","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","offered","",""
"TLS1_3","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","offered with final","",""
"NPN","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","",""
"ALPN","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","",""
"cipherlist_NULL","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","not offered","","CWE-327"
"cipherlist_LOW","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","not offered","",""
"cipherlist_STRONG_FS","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","offered","",""
"cipher_order-tls1_2","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","server","",""
"cipher-tls1_2_xc02b","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc02c","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 256   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","false","",""
"cipher_order-tls1_3","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","server","",""
"cipher-tls1_3_x1302","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 256   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","false","",""
"cipher_order","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","server","",""
"FS","messervices.etudiant.gouv.fr/195.221.19.224","443","OK","offered","",""
"FS_ciphers","messervices.etudiant.gouv.fr/195.221.19.224","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
