"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","HTTP","",""
"pre_128cipher","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","No 128 cipher limit bug","",""
"SSLv2","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","not offered","",""
"SSLv3","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","not offered","",""
"TLS1","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","offered (deprecated)","",""
"TLS1_1","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","offered (deprecated)","",""
"TLS1_2","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","offered","",""
"TLS1_3","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","not offered","",""
"ALPN","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","http/1.1","",""
"cipherlist_NULL","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","not offered","","CWE-327"
"cipherlist_LOW","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","offered","",""
"cipherlist_STRONG_FS","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","offered","",""
"cipher_order-tls1","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","server","",""
"cipher-tls1_xc013","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","server","",""
"cipher-tls1_1_xc013","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_1","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","server","",""
"cipher-tls1_2_x3c","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9c","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x67","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9e","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc02f","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3d","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x6b","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x9f","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc030","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc013","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","AES128-SHA256 AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-GCM-SHA256 AES256-SHA256 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-SHA","",""
"cipher_order","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","server","",""
"FS","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","offered","",""
"FS_ciphers","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","telereception-passeport.ants.gouv.fr/92.175.135.107","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","'server name/#0' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","yes","",""
"sessionresumption_ticket","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","supported","",""
"sessionresumption_ID","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","supported","",""
"TLS_timestamp","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","random","",""
"cert_compression","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","N/A","",""
"clientAuth","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","none","",""
"cert_numbers","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","1","",""
"cert_signatureAlgorithm","telereception-passeport.ants.gouv.fr/92.175.135.107","443","OK","SHA256 with RSA","",""
"cert_keySize","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","84E87C39351208F71920485F84D2CBED","",""
"cert_serialNumberLen","telereception-passeport.ants.gouv.fr/92.175.135.107","443","INFO","16","",""
