"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","france-identite.gouv.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","france-identite.gouv.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","france-identite.gouv.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","france-identite.gouv.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","france-identite.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","france-identite.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","france-identite.gouv.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","france-identite.gouv.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","france-identite.gouv.fr/148.253.96.193","443","OK","h2","",""
"ALPN","france-identite.gouv.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","france-identite.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","france-identite.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","france-identite.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","france-identite.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","france-identite.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","france-identite.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","france-identite.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","france-identite.gouv.fr/148.253.96.193","443","OK","offered","",""
"cipher_order-tls1_2","france-identite.gouv.fr/148.253.96.193","443","OK","server","",""
"cipherorder_TLSv1_2","france-identite.gouv.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","france-identite.gouv.fr/148.253.96.193","443","OK","server","",""
"FS","france-identite.gouv.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","france-identite.gouv.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","france-identite.gouv.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","france-identite.gouv.fr/148.253.96.193","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","france-identite.gouv.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","france-identite.gouv.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","france-identite.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","france-identite.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","france-identite.gouv.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","france-identite.gouv.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","france-identite.gouv.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","france-identite.gouv.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","france-identite.gouv.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","france-identite.gouv.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","france-identite.gouv.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","france-identite.gouv.fr/148.253.96.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","france-identite.gouv.fr/148.253.96.193","443","INFO","04A6367D8BB27C12687E55AEB4EC914CDF91","",""
"cert_serialNumberLen","france-identite.gouv.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","france-identite.gouv.fr/148.253.96.193","443","INFO","870A02746D6092614C3560F8C6EA0A3E5F608471","",""
"cert_fingerprintSHA256","france-identite.gouv.fr/148.253.96.193","443","INFO","7908CBEB4E31E8101334EE13C799AA00A6CE5F22F6B1165B5637630C01D27929","",""
