"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mer.gouv.fr/37.235.89.97","443","INFO","HTTP","",""
"pre_128cipher","mer.gouv.fr/37.235.89.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mer.gouv.fr/37.235.89.97","443","OK","not offered","",""
"SSLv3","mer.gouv.fr/37.235.89.97","443","OK","not offered","",""
"TLS1","mer.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"TLS1_1","mer.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"TLS1_2","mer.gouv.fr/37.235.89.97","443","OK","offered","",""
"TLS1_3","mer.gouv.fr/37.235.89.97","443","OK","offered with final","",""
"ALPN_HTTP2","mer.gouv.fr/37.235.89.97","443","OK","h2","",""
"ALPN","mer.gouv.fr/37.235.89.97","443","INFO","http/1.1","",""
"cipherlist_NULL","mer.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mer.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mer.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mer.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mer.gouv.fr/37.235.89.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mer.gouv.fr/37.235.89.97","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mer.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mer.gouv.fr/37.235.89.97","443","OK","offered","",""
"cipher_order-tls1_2","mer.gouv.fr/37.235.89.97","443","OK","server","",""
"cipherorder_TLSv1_2","mer.gouv.fr/37.235.89.97","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mer.gouv.fr/37.235.89.97","443","OK","server","",""
"FS","mer.gouv.fr/37.235.89.97","443","OK","offered","",""
"FS_ciphers","mer.gouv.fr/37.235.89.97","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mer.gouv.fr/37.235.89.97","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mer.gouv.fr/37.235.89.97","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","mer.gouv.fr/37.235.89.97","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","mer.gouv.fr/37.235.89.97","443","INFO","yes","",""
"sessionresumption_ticket","mer.gouv.fr/37.235.89.97","443","INFO","supported","",""
