"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","HTTP","",""
"pre_128cipher","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","No 128 cipher limit bug","",""
"SSLv2","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","not offered","",""
"SSLv3","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","not offered","",""
"TLS1","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","not offered","",""
"TLS1_1","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","not offered","",""
"TLS1_2","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","offered","",""
"TLS1_3","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","offered with final","",""
"NPN","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","not offered","",""
"ALPN_HTTP2","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","h2","",""
"ALPN","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","http/1.1","",""
"cipherlist_NULL","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","not offered","","CWE-327"
"cipherlist_LOW","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","not offered","",""
"cipherlist_STRONG_FS","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","offered","",""
"cipher_order-tls1_2","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","true","",""
"cipher_order-tls1_3","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 256   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","jecliqueoupas.cyber.gouv.fr/54.37.42.178","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
