"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","HTTP","",""
"pre_128cipher","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","No 128 cipher limit bug","",""
"SSLv2","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","not offered","",""
"SSLv3","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","not offered","",""
"TLS1","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","not offered","",""
"TLS1_1","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","not offered","",""
"TLS1_2","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","offered","",""
"TLS1_3","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","offered with final","",""
"NPN","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","not offered","",""
"ALPN_HTTP2","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","h2","",""
"ALPN","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","http/1.1","",""
"cipherlist_NULL","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","not offered","","CWE-327"
"cipherlist_LOW","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","not offered","",""
"cipherlist_STRONG_FS","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","offered","",""
"cipher_order-tls1_2","c-its.developpement-durable.gouv.fr/195.144.11.124","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 384   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","c-its.developpement-durable.gouv.fr/195.144.11.124","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
