"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.service-civique.gouv.fr/37.59.251.196","443","INFO","HTTP","",""
"pre_128cipher","www.service-civique.gouv.fr/37.59.251.196","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.service-civique.gouv.fr/37.59.251.196","443","OK","not offered","",""
"SSLv3","www.service-civique.gouv.fr/37.59.251.196","443","OK","not offered","",""
"TLS1","www.service-civique.gouv.fr/37.59.251.196","443","INFO","not offered","",""
"TLS1_1","www.service-civique.gouv.fr/37.59.251.196","443","INFO","not offered","",""
"TLS1_2","www.service-civique.gouv.fr/37.59.251.196","443","OK","offered","",""
"TLS1_3","www.service-civique.gouv.fr/37.59.251.196","443","OK","offered with final","",""
"ALPN_HTTP2","www.service-civique.gouv.fr/37.59.251.196","443","OK","h2","",""
"ALPN","www.service-civique.gouv.fr/37.59.251.196","443","INFO","http/1.1","",""
"cipherlist_NULL","www.service-civique.gouv.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.service-civique.gouv.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.service-civique.gouv.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.service-civique.gouv.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.service-civique.gouv.fr/37.59.251.196","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.service-civique.gouv.fr/37.59.251.196","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.service-civique.gouv.fr/37.59.251.196","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.service-civique.gouv.fr/37.59.251.196","443","OK","offered","",""
"cipher_order-tls1_2","www.service-civique.gouv.fr/37.59.251.196","443","OK","server","",""
"cipherorder_TLSv1_2","www.service-civique.gouv.fr/37.59.251.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.service-civique.gouv.fr/37.59.251.196","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.service-civique.gouv.fr/37.59.251.196","443","OK","offered","",""
"FS_ciphers","www.service-civique.gouv.fr/37.59.251.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.service-civique.gouv.fr/37.59.251.196","443","OK","prime256v1 secp384r1 secp521r1","",""
