"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","HTTP","",""
"pre_128cipher","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","not offered","",""
"SSLv3","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","not offered","",""
"TLS1","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"TLS1_1","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"TLS1_2","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"TLS1_3","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","offered with final","",""
"NPN","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","h2","",""
"ALPN","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","http/1.1","",""
"cipherlist_NULL","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"cipherlist_STRONG_FS","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"cipher_order-tls1_2","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1304","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.3   x1304   TLS_AES_128_CCM_SHA256            ECDH 253   AESCCM      128      TLS_AES_128_CCM_SHA256","",""
"supportedciphers_TLSv1_3","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256","",""
"cipher_order","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","NOT a cipher order configured","",""
"FS","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"FS_ciphers","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","Unknown DH group (2048 bits)","",""
"FS_TLS12_sig_algs","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","LOW","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","yes","",""
"sessionresumption_ticket","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","not supported","",""
"sessionresumption_ID","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","supported","",""
"TLS_timestamp","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","random","",""
"certificate_compression","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","none","",""
"clientAuth","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","none","",""
"cert_numbers","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","1","",""
"cert_signatureAlgorithm","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","OK","SHA256 with RSA","",""
"cert_keySize","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","06D8FF7173314D93AEE135C27255888D9C24","",""
"cert_serialNumberLen","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","18","",""
"cert_fingerprintSHA1","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","2045D80EEF18894E5A3C899957899FEFADA01860","",""
"cert_fingerprintSHA256","bateauxdupatrimoine.culture.gouv.fr/51.159.155.253","443","INFO","8E10025FB636696715874D05DBDD0EF86F557B05E84407451149D94980FD79E1","",""
