"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","HTTP","",""
"pre_128cipher","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","not offered","",""
"SSLv3","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","not offered","",""
"TLS1","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not offered","",""
"TLS1_1","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not offered","",""
"TLS1_2","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","offered","",""
"TLS1_3","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","offered with final","",""
"NPN","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not offered","",""
"ALPN","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","http/1.1","",""
"cipherlist_NULL","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","offered","",""
"cipher_order-tls1_2","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","NOT a server cipher order configured","",""
"FS","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","offered","",""
"FS_ciphers","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","yes","",""
"sessionresumption_ticket","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","not supported","",""
"sessionresumption_ID","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","supported","",""
"TLS_timestamp","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","random","",""
"certificate_compression","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","none","",""
"clientAuth","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","none","",""
"cert_numbers","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","1","",""
"cert_signatureAlgorithm","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","ECDSA with SHA384","",""
"cert_keySize","sit.jura.pref.gouv.fr/147.135.136.94","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","Digital Signature","",""
"cert_extKeyUsage","sit.jura.pref.gouv.fr/147.135.136.94","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
