"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","HTTP","",""
"pre_128cipher","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","not offered","",""
"SSLv3","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","not offered","",""
"TLS1","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered","",""
"TLS1_1","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered","",""
"TLS1_2","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","offered","",""
"TLS1_3","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered","",""
"cipherlist_NULL","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","offered","",""
"cipher_order-tls1_2","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.observatoire-des-territoires.gouv.fr/217.115.162.98","443","INFO","NOT a cipher order configured","",""
