"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","drogues.gouv.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","drogues.gouv.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","drogues.gouv.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","drogues.gouv.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","drogues.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","drogues.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","drogues.gouv.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","drogues.gouv.fr/217.70.184.55","443","OK","offered with final","",""
"ALPN","drogues.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","drogues.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","drogues.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","drogues.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","drogues.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","drogues.gouv.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","drogues.gouv.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","drogues.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","drogues.gouv.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","drogues.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","drogues.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","drogues.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","drogues.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","drogues.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","drogues.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","drogues.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"FS","drogues.gouv.fr/217.70.184.55","443","OK","offered","",""
"FS_ciphers","drogues.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","drogues.gouv.fr/217.70.184.55","443","OK","prime256v1","",""
"TLS_extensions","drogues.gouv.fr/217.70.184.55","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","drogues.gouv.fr/217.70.184.55","443","INFO","valid for 299 seconds only (<daily)","",""
"SSL_sessionID_support","drogues.gouv.fr/217.70.184.55","443","INFO","yes","",""
"sessionresumption_ticket","drogues.gouv.fr/217.70.184.55","443","INFO","supported","",""
"sessionresumption_ID","drogues.gouv.fr/217.70.184.55","443","INFO","not supported","",""
"TLS_timestamp","drogues.gouv.fr/217.70.184.55","443","INFO","random","",""
"certificate_compression","drogues.gouv.fr/217.70.184.55","443","INFO","none","",""
"clientAuth","drogues.gouv.fr/217.70.184.55","443","INFO","none","",""
"cert_numbers","drogues.gouv.fr/217.70.184.55","443","INFO","1","",""
"cert_signatureAlgorithm","drogues.gouv.fr/217.70.184.55","443","OK","SHA384 with RSA","",""
"cert_keySize","drogues.gouv.fr/217.70.184.55","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","drogues.gouv.fr/217.70.184.55","443","INFO","Digital Signature","",""
"cert_extKeyUsage","drogues.gouv.fr/217.70.184.55","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","drogues.gouv.fr/217.70.184.55","443","INFO","47F7E666FA6154FB4962B58FC5E80F0D","",""
"cert_serialNumberLen","drogues.gouv.fr/217.70.184.55","443","INFO","16","",""
"cert_fingerprintSHA1","drogues.gouv.fr/217.70.184.55","443","INFO","D6EFE19F7F16528E90B3F255EEA8031C642D0B44","",""
"cert_fingerprintSHA256","drogues.gouv.fr/217.70.184.55","443","INFO","D452C8644060786CDFE4D4249874851033AFD74EA1BA381F3E02FDC68DDB7EE2","",""
