"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","boutique.museedesblindes.fr/185.88.196.67","443","INFO","HTTP","",""
"pre_128cipher","boutique.museedesblindes.fr/185.88.196.67","443","INFO","No 128 cipher limit bug","",""
"SSLv2","boutique.museedesblindes.fr/185.88.196.67","443","OK","not offered","",""
"SSLv3","boutique.museedesblindes.fr/185.88.196.67","443","OK","not offered","",""
"TLS1","boutique.museedesblindes.fr/185.88.196.67","443","INFO","not offered","",""
"TLS1_1","boutique.museedesblindes.fr/185.88.196.67","443","INFO","not offered","",""
"TLS1_2","boutique.museedesblindes.fr/185.88.196.67","443","OK","offered","",""
"TLS1_3","boutique.museedesblindes.fr/185.88.196.67","443","OK","offered with final","",""
"NPN","boutique.museedesblindes.fr/185.88.196.67","443","INFO","not offered","",""
"ALPN","boutique.museedesblindes.fr/185.88.196.67","443","INFO","http/1.1","",""
"cipherlist_NULL","boutique.museedesblindes.fr/185.88.196.67","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","boutique.museedesblindes.fr/185.88.196.67","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","boutique.museedesblindes.fr/185.88.196.67","443","OK","not offered","","CWE-327"
"cipherlist_LOW","boutique.museedesblindes.fr/185.88.196.67","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","boutique.museedesblindes.fr/185.88.196.67","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","boutique.museedesblindes.fr/185.88.196.67","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","boutique.museedesblindes.fr/185.88.196.67","443","OK","offered","",""
"cipherlist_STRONG_FS","boutique.museedesblindes.fr/185.88.196.67","443","OK","offered","",""
"cipher_order-tls1_2","boutique.museedesblindes.fr/185.88.196.67","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9f","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0a3","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc0a3   DHE-RSA-AES256-CCM8               DH 2048    AESCCM8     256      TLS_DHE_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09f","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc09f   DHE-RSA-AES256-CCM                DH 2048    AESCCM      256      TLS_DHE_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_x6b","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc077","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc077   ECDHE-RSA-CAMELLIA256-SHA384      ECDH 521   Camellia    256      TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc4","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc4     DHE-RSA-CAMELLIA256-SHA256        DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256","",""
"cipher-tls1_2_x88","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_2_x9d","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc0a1","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc0a1   AES256-CCM8                       RSA        AESCCM8     256      TLS_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09d","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_x3d","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x35","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc0","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc0     CAMELLIA256-SHA256                RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256","",""
"cipher-tls1_2_x84","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_2_xc051","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc051   ARIA256-GCM-SHA384                RSA        ARIAGCM     256      TLS_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc053","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc053   DHE-RSA-ARIA256-GCM-SHA384        DH 2048    ARIAGCM     256      TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc061","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc061   ECDHE-ARIA256-GCM-SHA384          ECDH 521   ARIAGCM     256      TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9e","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc0a2","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc0a2   DHE-RSA-AES128-CCM8               DH 2048    AESCCM8     128      TLS_DHE_RSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_xc09e","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc09e   DHE-RSA-AES128-CCM                DH 2048    AESCCM      128      TLS_DHE_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc0a0","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc0a0   AES128-CCM8                       RSA        AESCCM8     128      TLS_RSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_xc09c","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc09c   AES128-CCM                        RSA        AESCCM      128      TLS_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_x67","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc076","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xc076   ECDHE-RSA-CAMELLIA128-SHA256      ECDH 521   Camellia    128      TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xbe","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xbe     DHE-RSA-CAMELLIA128-SHA256        DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_x45","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_2_x9c","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3c","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x2f","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xba","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   xba     CAMELLIA128-SHA256                RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_x41","boutique.museedesblindes.fr/185.88.196.67","443","LOW","TLSv1.2   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_2_xc050","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc050   ARIA128-GCM-SHA256                RSA        ARIAGCM     128      TLS_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc052","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc052   DHE-RSA-ARIA128-GCM-SHA256        DH 2048    ARIAGCM     128      TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc060","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.2   xc060   ECDHE-ARIA128-GCM-SHA256          ECDH 521   ARIAGCM     128      TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","boutique.museedesblindes.fr/185.88.196.67","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-CHACHA20-POLY1305 DHE-RSA-AES256-CCM8 DHE-RSA-AES256-CCM DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA256-SHA384 DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA AES256-GCM-SHA384 AES256-CCM8 AES256-CCM AES256-SHA256 AES256-SHA CAMELLIA256-SHA256 CAMELLIA256-SHA ARIA256-GCM-SHA384 DHE-RSA-ARIA256-GCM-SHA384 ECDHE-ARIA256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-CCM8 DHE-RSA-AES128-CCM AES128-CCM8 AES128-CCM DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA ECDHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA AES128-GCM-SHA256 AES128-SHA256 AES128-SHA CAMELLIA128-SHA256 CAMELLIA128-SHA ARIA128-GCM-SHA256 DHE-RSA-ARIA128-GCM-SHA256 ECDHE-ARIA128-GCM-SHA256","",""
"cipher_order-tls1_3","boutique.museedesblindes.fr/185.88.196.67","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","boutique.museedesblindes.fr/185.88.196.67","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","boutique.museedesblindes.fr/185.88.196.67","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","boutique.museedesblindes.fr/185.88.196.67","443","LOW","NOT a server cipher order configured","",""
"FS","boutique.museedesblindes.fr/185.88.196.67","443","OK","offered","",""
"FS_ciphers","boutique.museedesblindes.fr/185.88.196.67","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-CHACHA20-POLY1305 DHE-RSA-AES256-CCM8 DHE-RSA-AES256-CCM DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA256-SHA384 DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA DHE-RSA-ARIA256-GCM-SHA384 ECDHE-ARIA256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-CCM8 DHE-RSA-AES128-CCM DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA ECDHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-ARIA128-GCM-SHA256 ECDHE-ARIA128-GCM-SHA256","",""
"FS_ECDHE_curves","boutique.museedesblindes.fr/185.88.196.67","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","boutique.museedesblindes.fr/185.88.196.67","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","boutique.museedesblindes.fr/185.88.196.67","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224","",""
"FS_TLS13_sig_algs","boutique.museedesblindes.fr/185.88.196.67","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","boutique.museedesblindes.fr/185.88.196.67","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","boutique.museedesblindes.fr/185.88.196.67","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","boutique.museedesblindes.fr/185.88.196.67","443","INFO","yes","",""
"sessionresumption_ticket","boutique.museedesblindes.fr/185.88.196.67","443","INFO","supported","",""
"sessionresumption_ID","boutique.museedesblindes.fr/185.88.196.67","443","INFO","supported","",""
"TLS_timestamp","boutique.museedesblindes.fr/185.88.196.67","443","INFO","random","",""
"certificate_compression","boutique.museedesblindes.fr/185.88.196.67","443","INFO","none","",""
"clientAuth","boutique.museedesblindes.fr/185.88.196.67","443","INFO","none","",""
"cert_numbers","boutique.museedesblindes.fr/185.88.196.67","443","INFO","1","",""
"cert_signatureAlgorithm","boutique.museedesblindes.fr/185.88.196.67","443","OK","SHA384 with RSA","",""
"cert_keySize","boutique.museedesblindes.fr/185.88.196.67","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","boutique.museedesblindes.fr/185.88.196.67","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","boutique.museedesblindes.fr/185.88.196.67","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","boutique.museedesblindes.fr/185.88.196.67","443","INFO","CB6043475A2B6AA7171C67D836FE4030","",""
"cert_serialNumberLen","boutique.museedesblindes.fr/185.88.196.67","443","INFO","16","",""
"cert_fingerprintSHA1","boutique.museedesblindes.fr/185.88.196.67","443","INFO","515A88477ADB5839F4D9030421E02F90F8DBE6AD","",""
"cert_fingerprintSHA256","boutique.museedesblindes.fr/185.88.196.67","443","INFO","D46C24E70D2127B2D639F0C5B6D26A0C132B2A79FDFAF39992484A9B7EBAEFE7","",""
