"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","HTTP","",""
"pre_128cipher","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","not offered","",""
"SSLv3","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","not offered","",""
"TLS1","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not offered","",""
"TLS1_1","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not offered","",""
"TLS1_2","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","offered","",""
"TLS1_3","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","offered with final","",""
"NPN","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not offered","",""
"ALPN_HTTP2","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","h2","",""
"ALPN","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","http/1.1","",""
"cipherlist_NULL","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","offered","",""
"cipher_order-tls1_2","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","NOT a server cipher order configured","",""
"FS","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","offered","",""
"FS_ciphers","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","yes","",""
"sessionresumption_ticket","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not supported","",""
"sessionresumption_ID","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","not supported","",""
"TLS_timestamp","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","random","",""
"certificate_compression","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","none","",""
"clientAuth","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","none","",""
"cert_numbers","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","1","",""
"cert_signatureAlgorithm","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","051B6F4A35C7071CB3F97AF8BA6245E83B72","",""
"cert_serialNumberLen","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","18","",""
"cert_fingerprintSHA1","www.bibliotheque.sgdsn.gouv.fr/51.159.175.23","443","INFO","8F52390FFC2331E73CEEF0B15490C5CE4114D6D4","",""
