"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","HTTP","",""
"pre_128cipher","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","not offered","",""
"SSLv3","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","not offered","",""
"TLS1","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","not offered","",""
"TLS1_1","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","not offered","",""
"TLS1_2","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","offered","",""
"TLS1_3","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","offered with final","",""
"NPN","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","not offered","",""
"ALPN","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","http/1.1","",""
"cipherlist_NULL","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","offered","",""
"cipher_order-tls1_2","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","server","",""
"cipher-tls1_2_xc030","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 3072    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 3072    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","server","",""
"cipher-tls1_3_x1302","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","false","",""
"cipher_order","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","server","",""
"FS","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","offered","",""
"FS_ciphers","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","OK","RFC3526/Oakley Group 15","",""
"FS_TLS12_sig_algs","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","sirh.projets.developpement-durable.gouv.fr/194.5.170.154","443","INFO","valid for 300 seconds only (<daily)","",""
